Navn,Hold,Position,Pris,Startpris,Vækst Runde 1,Vækst Runde 2,Vækst Runde 3,Vækst%,Runde1-points,Popularitet%,UdeAfSpil,Skadet
Reece James,England,DEF,3613000,3500000,56000,62000,-5000,3.23,0,5.93,Nej,Nej
Ezri Konsa,England,DEF,4730000,4500000,66000,62000,102000,5.11,0,0.43,Nej,Nej
Nico O'Reilly,England,DEF,4180000,4000000,66000,12000,102000,4.50,0,5.35,Nej,Nej
Djed Spence,England,DEF,2656000,2500000,52000,62000,42000,6.24,0,0.80,Nej,Nej
Jarell Quansah,England,DEF,2562000,2500000,-5000,-5000,72000,2.48,0,0.22,Nej,Nej
Lewis Hall,England,DEF,3500000,3500000,0,0,0,0.00,0,0.00,Ja,Nej
Valentino Livramento,England,DEF,2995000,3000000,-5000,0,0,-0.17,0,0.16,Nej,Nej
Jerome Opoku,Ghana,DEF,2649000,2500000,92000,62000,-5000,5.96,0,0.03,Nej,Nej
Patric Pfeiffer,Ghana,DEF,2000000,2000000,0,0,0,0.00,0,0.00,Ja,Nej
Kojo Peprah Oppong,Ghana,DEF,1988000,2000000,-5000,12000,-19000,-0.60,0,0.02,Nej,Nej
Alexander Djiku,Ghana,DEF,3000000,3000000,0,0,0,0.00,0,0.00,Ja,Nej
Alidu Seidu,Ghana,DEF,2485000,2500000,-5000,-5000,-5000,-0.60,0,0.03,Nej,Nej
Derrick Köhn,Ghana,DEF,2000000,2000000,0,0,0,0.00,0,0.00,Ja,Nej
Caleb Yirenkyi,Ghana,DEF,3348000,3000000,287000,62000,-1000,11.60,0,0.75,Nej,Nej
Gideon Mensah,Ghana,DEF,3147000,3000000,92000,62000,-7000,4.90,0,0.06,Nej,Nej
Derrick Luckassen,Ghana,DEF,2158000,2000000,-5000,-5000,168000,7.90,0,0.02,Nej,Nej
Abdul Rahman Baba,Ghana,DEF,2502000,2500000,-5000,12000,-5000,0.08,0,0.08,Nej,Nej
Abdul Mumin,Ghana,DEF,1985000,2000000,-5000,-5000,-5000,-0.75,0,0.32,Nej,Nej
Jonas Adjetey,Ghana,DEF,2655000,2500000,102000,62000,-9000,6.20,0,0.02,Nej,Nej
Marvin Senaya,Ghana,DEF,2147000,2000000,92000,62000,-7000,7.35,0,0.04,Nej,Nej
Yuto Nagatomo,Japan,DEF,2002000,2000000,-5000,-5000,12000,0.10,0,0.22,Nej,Nej
Ko Itakura,Japan,DEF,2189000,2000000,-5000,182000,12000,9.45,0,0.24,Nej,Nej
Takehiro Tomiyasu,Japan,DEF,2129000,2000000,22000,112000,-5000,6.45,0,0.45,Nej,Nej
Ayumu Seko,Japan,DEF,2551000,2500000,-5000,42000,14000,2.04,0,0.08,Nej,Nej
Tomoya Ando,Japan,DEF,2000000,2000000,0,0,0,0.00,0,0.00,Ja,Nej
Henry Mochizuki,Japan,DEF,2000000,2000000,0,0,0,0.00,0,0.00,Ja,Nej
Tsuyoshi Watanabe,Japan,DEF,3013000,3000000,6000,-5000,12000,0.43,0,0.19,Nej,Nej
Junnosuke Suzuki,Japan,DEF,2532000,2500000,-5000,42000,-5000,1.28,0,0.40,Nej,Nej
Yukinari Sugawara,Japan,DEF,3598000,3500000,32000,42000,24000,2.80,0,0.30,Nej,Nej
Daiki Hashioka,Japan,DEF,2000000,2000000,0,0,0,0.00,0,0.00,Ja,Nej
Shogo Taniguchi,Japan,DEF,3005000,3000000,16000,-5000,-6000,0.17,0,0.26,Nej,Nej
Hiroki Ito,Japan,DEF,2652000,2500000,16000,122000,14000,6.08,0,0.67,Nej,Nej
Min-jae Kim,Sydkorea,DEF,3526000,3500000,44000,-9000,-9000,0.74,0,0.64,Nej,Nej
Moon-Hwan Kim,Sydkorea,DEF,2481000,2500000,-5000,-9000,-5000,-0.76,0,0.05,Nej,Nej
Yu-Min Cho,Sydkorea,DEF,2500000,2500000,0,0,0,0.00,0,0.00,Ja,Nej
Han-beom Lee,Sydkorea,DEF,2026000,2000000,44000,-9000,-9000,1.30,0,0.54,Nej,Nej
Young-woo Seol,Sydkorea,DEF,3026000,3000000,44000,-9000,-9000,0.87,0,0.09,Nej,Nej
Tae-Seok Lee,Sydkorea,DEF,2528000,2500000,34000,-5000,-1000,1.12,0,0.07,Nej,Nej
Tae-Hyeon Kim,Sydkorea,DEF,1985000,2000000,-5000,-5000,-5000,-0.75,0,0.06,Nej,Nej
Ju-sung Kim,Sydkorea,DEF,2000000,2000000,0,0,0,0.00,0,0.00,Ja,Nej
Gi-hyuk Lee,Sydkorea,DEF,2006000,2000000,24000,-9000,-9000,0.30,0,0.10,Nej,Nej
Wi-je Cho,Sydkorea,DEF,1985000,2000000,-5000,-5000,-5000,-0.75,0,0.09,Nej,Nej
Jesus Angulo,Mexico,DEF,2000000,2000000,0,0,0,0.00,0,0.00,Ja,Nej
Everardo Lopez,Mexico,DEF,2500000,2500000,0,0,0,0.00,0,0.00,Ja,Nej
Cesar Montes,Mexico,DEF,3159000,3000000,52000,-5000,112000,5.30,0,2.52,Nej,Nej
Israel Reyes,Mexico,DEF,3246000,3000000,102000,32000,112000,8.20,0,0.79,Nej,Nej
Mateo Chavez,Mexico,DEF,2840000,2500000,-5000,-5000,350000,13.60,0,0.08,Nej,Nej
Jesus Gallardo,Mexico,DEF,3236000,3000000,102000,92000,42000,7.87,0,1.21,Nej,Nej
Richard Ledezma,Mexico,DEF,2000000,2000000,0,0,0,0.00,0,0.00,Ja,Nej
Johan Vasquez,Mexico,DEF,3189000,3000000,102000,92000,-5000,6.30,0,3.09,Nej,Nej
Jorge Sanchez,Mexico,DEF,2769000,2500000,-5000,92000,182000,10.76,0,0.85,Nej,Nej
Liberato Cacace,New Zealand,DEF,2494000,2500000,26000,-7000,-25000,-0.24,0,0.02,Nej,Nej
Francis de Vries,New Zealand,DEF,2487000,2500000,-5000,-1000,-7000,-0.52,0,0.02,Nej,Nej
Finn Surman,New Zealand,DEF,2145000,2000000,16000,160000,-31000,7.25,0,0.02,Nej,Nej
Michael Boxall,New Zealand,DEF,1986000,2000000,16000,-15000,-15000,-0.70,0,0.01,Nej,Nej
Lukas Kelly-Heald,New Zealand,DEF,2000000,2000000,0,0,0,0.00,0,0.00,Ja,Nej
James McGarry,New Zealand,DEF,2000000,2000000,0,0,0,0.00,0,0.00,Ja,Nej
Tim Payne,New Zealand,DEF,2544000,2500000,16000,45000,-17000,1.76,0,0.07,Nej,Nej
Callan Elliot,New Zealand,DEF,2002000,2000000,12000,-5000,-5000,0.10,0,0.04,Nej,Nej
Tyler Bindon,New Zealand,DEF,2490000,2500000,12000,9000,-31000,-0.40,0,0.01,Nej,Nej
Tommy Smith,New Zealand,DEF,1985000,2000000,-5000,-5000,-5000,-0.75,0,0.04,Nej,Nej
Nando Pijnaker,New Zealand,DEF,1985000,2000000,-5000,-5000,-5000,-0.75,0,0.01,Nej,Nej
Jose Canale,Paraguay,DEF,2039000,2000000,-5000,32000,12000,1.95,0,0.03,Nej,Nej
Bill Tuiloma,New Zealand,DEF,2000000,2000000,0,0,0,0.00,0,0.00,Ja,Nej
Alexandro Maidana,Paraguay,DEF,2039000,2000000,-5000,32000,12000,1.95,0,0.10,Nej,Nej
Blas Riveros,Paraguay,DEF,2000000,2000000,0,0,0,0.00,0,0.00,Ja,Nej
Omar Alderete,Paraguay,DEF,3631000,3500000,-23000,92000,62000,3.74,0,0.07,Nej,Nej
Junior Alonso,Paraguay,DEF,3061000,3000000,-43000,92000,12000,2.03,0,0.02,Nej,Nej
Fabian Balbuena,Paraguay,DEF,2485000,2500000,-5000,-5000,-5000,-0.60,0,0.03,Nej,Nej
Gustavo Gomez,Paraguay,DEF,3131000,3000000,-23000,92000,62000,4.37,0,0.06,Nej,Nej
Alexis Duarte,Paraguay,DEF,2000000,2000000,0,0,0,0.00,0,0.01,Ja,Nej
Gustavo Velazquez,Paraguay,DEF,2589000,2500000,-5000,32000,62000,3.56,0,0.02,Nej,Nej
Gonzalo Agustin Sandez,Paraguay,DEF,2000000,2000000,0,0,0,0.00,0,0.00,Ja,Nej
Juan Jose Caceres,Paraguay,DEF,3129000,3000000,-35000,102000,62000,4.30,0,0.02,Nej,Nej
Alan Benitez,Paraguay,DEF,2500000,2500000,0,0,0,0.00,0,0.00,Ja,Nej
Thabang Matuludi,Sydafrika,DEF,1985000,2000000,-5000,-5000,-5000,-0.75,0,0.04,Nej,Nej
Khuliso Mudau,Sydafrika,DEF,3089000,3000000,-17000,14000,92000,2.97,0,0.01,Nej,Nej
Samukele Kabini,Sydafrika,DEF,1985000,2000000,-5000,-5000,-5000,-0.75,0,0.02,Nej,Nej
Mbekezeli Mbokazi,Sydafrika,DEF,2599000,2500000,-7000,14000,92000,3.96,0,0.02,Nej,Nej
